iter	Passed	Remaining
0	1	1666
1	2	1017
2	3	1207
3	4	1020
4	4	897
5	4	796
6	5	823
7	6	763
8	6	713
9	6	671
10	7	637
11	7	608
12	7	582
13	8	567
14	8	552
15	8	536
16	9	522
17	9	509
18	9	497
19	9	484
20	10	474
21	10	465
22	10	456
23	11	448
24	11	440
25	11	433
26	11	429
27	12	423
28	12	417
29	12	412
30	13	407
31	13	402
32	13	397
33	13	393
34	14	389
35	14	385
36	14	381
37	14	378
38	15	374
39	15	371
40	15	368
41	16	366
42	16	363
43	16	361
44	16	358
45	17	356
46	17	354
47	17	352
48	18	350
49	18	348
50	18	346
51	18	345
52	19	344
53	19	343
54	19	342
55	20	341
56	20	340
57	20	339
58	21	339
59	21	339
60	21	338
61	22	337
62	22	336
63	22	335
64	23	334
65	23	333
66	23	332
67	24	332
68	24	331
69	24	330
70	25	329
71	25	328
72	25	327
73	26	326
74	26	325
75	26	324
76	27	324
77	27	323
78	27	323
79	28	322
80	28	321
81	28	320
82	28	317
83	29	316
84	29	316
85	29	315
86	29	314
87	30	313
88	30	312
89	30	312
90	31	312
91	31	311
92	31	310
93	32	310
94	32	309
95	32	308
96	33	307
97	33	307
98	33	307
99	34	306
100	34	306
101	34	305
102	35	305
103	35	305
104	35	304
105	36	305
106	36	306
107	37	305
108	37	305
109	37	304
110	37	303
111	38	303
112	38	303
113	38	302
114	39	302
115	39	301
116	39	300
117	40	299
118	40	299
119	40	298
120	41	298
121	41	297
122	41	296
123	41	296
124	42	295
125	42	295
126	42	294
127	43	293
128	43	293
129	43	292
130	44	292
131	44	291
132	44	290
133	44	290
134	45	289
135	45	289
136	45	288
137	46	288
138	46	287
139	46	287
140	47	286
141	47	285
142	47	284
143	47	284
144	48	283
145	48	283
146	48	283
147	49	282
148	49	282
149	49	282
150	50	281
151	50	280
152	50	280
153	51	280
154	51	279
155	51	280
156	52	280
157	52	280
158	52	279
159	53	279
160	53	278
161	53	277
162	54	277
163	54	277
164	54	276
165	55	276
166	55	276
167	55	275
168	55	275
169	56	274
170	56	274
171	57	274
172	57	274
173	57	273
174	57	273
175	58	272
176	58	272
177	58	271
178	59	271
179	59	271
180	59	270
181	60	270
182	60	269
183	60	269
184	61	268
185	61	268
186	61	267
187	61	267
188	62	266
189	62	266
190	62	266
191	63	265
192	63	265
193	63	264
194	64	264
195	64	264
196	64	263
197	65	263
198	65	263
199	65	262
200	66	262
201	66	262
202	66	261
203	66	261
204	67	261
205	67	261
206	68	261
207	68	260
208	68	260
209	69	260
210	69	259
211	69	259
212	70	259
213	70	258
214	70	258
215	71	257
216	71	257
217	71	256
218	71	256
219	72	256
220	72	255
221	72	255
222	73	255
223	73	254
224	73	254
225	74	254
226	74	253
227	74	253
228	75	253
229	75	252
230	75	252
231	76	252
232	76	251
233	76	251
234	77	250
235	77	250
236	77	250
237	77	249
238	78	249
239	78	249
240	78	248
241	79	248
242	79	247
243	79	247
244	80	247
245	80	246
246	80	246
247	81	246
248	81	245
249	81	245
250	82	245
251	82	245
252	83	245
253	83	244
254	83	244
255	83	244
256	84	243
257	84	243
258	85	243
259	85	243
260	85	242
261	86	242
262	86	242
263	86	241
264	87	241
265	87	240
266	87	240
267	87	240
268	88	239
269	88	239
270	88	239
271	89	238
272	89	238
273	89	237
274	90	237
275	90	237
276	90	236
277	91	236
278	91	236
279	91	235
280	92	235
281	92	235
282	92	234
283	93	234
284	93	234
285	93	233
286	93	233
287	94	233
288	94	233
289	95	232
290	95	232
291	95	232
292	96	231
293	96	231
294	96	230
295	96	230
296	97	230
297	97	230
298	98	230
299	98	230
300	98	229
301	99	229
302	99	228
303	99	228
304	100	228
305	100	227
306	100	227
307	101	227
308	101	226
309	101	226
310	102	226
311	102	225
312	102	225
313	102	225
314	103	224
315	103	224
316	104	224
317	104	223
318	104	223
319	105	223
320	105	223
321	105	222
322	106	222
323	106	222
324	106	221
325	107	221
326	107	220
327	107	220
328	107	220
329	108	219
330	108	219
331	108	219
332	109	218
333	109	218
334	109	217
335	110	217
336	110	217
337	110	216
338	111	216
339	111	216
340	111	215
341	112	215
342	112	215
343	112	214
344	113	214
345	113	214
346	113	214
347	114	214
348	114	213
349	114	213
350	115	212
351	115	212
352	115	212
353	116	212
354	116	211
355	116	211
356	117	211
357	117	210
358	117	210
359	118	210
360	118	210
361	119	209
362	119	209
363	119	209
364	120	208
365	120	208
366	120	208
367	120	207
368	121	207
369	121	207
370	121	206
371	122	206
372	122	206
373	122	205
374	123	205
375	123	205
376	123	204
377	124	204
378	124	204
379	124	203
380	126	205
381	127	205
382	128	206
383	128	206
384	129	206
385	130	206
386	130	207
387	131	207
388	131	207
389	132	207
390	133	207
391	133	207
392	134	207
393	135	207
394	135	207
395	136	208
396	137	208
397	137	208
398	138	208
399	139	208
400	139	208
401	140	208
402	141	209
403	141	209
404	142	209
405	143	209
406	143	209
407	144	209
408	145	209
409	145	209
410	146	209
411	147	210
412	147	210
413	148	210
414	149	210
415	149	210
416	150	209
417	150	209
418	150	209
419	151	208
420	151	208
421	151	207
422	151	207
423	152	206
424	152	206
425	152	206
426	153	205
427	153	205
428	153	204
429	154	204
430	154	203
431	154	203
432	155	202
433	155	202
434	155	202
435	155	201
436	156	201
437	156	200
438	156	200
439	157	199
440	157	199
441	157	199
442	158	199
443	159	199
444	159	198
445	159	198
446	160	198
447	160	197
448	160	197
449	161	196
450	161	196
451	161	196
452	162	195
453	162	195
454	162	194
455	163	194
456	163	194
457	163	193
458	164	193
459	164	192
460	164	192
461	165	192
462	165	191
463	165	191
464	165	190
465	166	190
466	166	190
467	166	189
468	167	189
469	167	188
470	167	188
471	168	188
472	168	187
473	168	187
474	169	186
475	169	186
476	169	186
477	170	185
478	170	185
479	171	185
480	171	185
481	171	184
482	172	184
483	172	183
484	172	183
485	173	183
486	173	182
487	173	182
488	174	181
489	174	181
490	174	181
491	175	180
492	175	180
493	176	180
494	176	180
495	177	179
496	177	179
497	177	179
498	178	178
499	178	178
500	178	178
501	179	177
502	179	177
503	179	176
504	179	176
505	180	175
506	180	175
507	180	175
508	181	174
509	181	174
510	181	173
511	182	173
512	182	173
513	183	173
514	183	172
515	183	172
516	184	171
517	184	171
518	184	171
519	185	170
520	185	170
521	185	170
522	185	169
523	186	169
524	186	168
525	186	168
526	187	168
527	187	167
528	188	167
529	189	167
530	189	167
531	189	166
532	189	166
533	190	166
534	191	166
535	191	165
536	191	165
537	191	164
538	192	164
539	192	164
540	192	163
541	193	163
542	193	162
543	193	162
544	194	162
545	194	161
546	194	161
547	195	161
548	195	160
549	196	160
550	196	160
551	197	159
552	197	159
553	197	159
554	197	158
555	198	158
556	198	157
557	198	157
558	199	157
559	199	156
560	199	156
561	200	155
562	200	155
563	200	155
564	201	154
565	201	154
566	201	154
567	202	153
568	202	153
569	202	152
570	203	152
571	203	152
572	203	151
573	203	151
574	204	150
575	204	150
576	204	150
577	206	150
578	206	150
579	206	149
580	207	149
581	207	148
582	208	148
583	208	148
584	208	148
585	209	147
586	209	147
587	209	146
588	210	146
589	210	146
590	210	145
591	211	145
592	211	145
593	211	144
594	211	144
595	212	143
596	212	143
597	212	143
598	213	142
599	213	142
600	213	141
601	214	141
602	214	141
603	215	140
604	215	140
605	215	140
606	215	139
607	216	139
608	216	139
609	216	138
610	217	138
611	217	137
612	217	137
613	218	137
614	218	136
615	218	136
616	219	135
617	219	135
618	219	135
619	219	134
620	220	134
621	221	134
622	221	133
623	221	133
624	222	133
625	222	132
626	222	132
627	223	132
628	223	131
629	223	131
630	224	131
631	224	130
632	224	130
633	224	129
634	225	129
635	225	129
636	225	128
637	226	128
638	226	127
639	226	127
640	227	127
641	227	127
642	228	126
643	228	126
644	228	125
645	229	125
646	229	125
647	229	124
648	230	124
649	230	124
650	230	123
651	231	123
652	231	122
653	231	122
654	232	122
655	232	121
656	232	121
657	232	121
658	233	120
659	233	120
660	234	120
661	234	119
662	234	119
663	235	119
664	235	118
665	235	118
666	236	117
667	236	117
668	236	117
669	237	116
670	237	116
671	237	116
672	238	115
673	238	115
674	238	114
675	238	114
676	239	114
677	239	113
678	239	113
679	240	113
680	240	112
681	241	112
682	241	112
683	241	111
684	242	111
685	242	110
686	242	110
687	243	110
688	243	109
689	243	109
690	243	109
691	244	108
692	244	108
693	244	107
694	245	107
695	245	107
696	245	106
697	246	106
698	246	106
699	247	105
700	247	105
701	247	105
702	248	104
703	248	104
704	248	104
705	249	103
706	249	103
707	249	103
708	250	102
709	250	102
710	250	101
711	251	101
712	251	101
713	251	100
714	251	100
715	252	100
716	252	99
717	253	99
718	253	99
719	254	98
720	254	98
721	254	98
722	254	97
723	255	97
724	255	96
725	255	96
726	256	96
727	256	95
728	256	95
729	257	95
730	257	94
731	257	94
732	258	93
733	258	93
734	258	93
735	258	92
736	259	92
737	260	92
738	260	91
739	260	91
740	261	91
741	261	90
742	261	90
743	261	90
744	262	89
745	262	89
746	262	89
747	263	88
748	263	88
749	263	87
750	264	87
751	264	87
752	264	86
753	265	86
754	265	86
755	266	86
756	266	85
757	267	85
758	267	84
759	267	84
760	268	84
761	268	83
762	268	83
763	269	83
764	269	82
765	269	82
766	270	82
767	270	81
768	270	81
769	271	81
770	271	80
771	271	80
772	272	79
773	272	79
774	273	79
775	273	78
776	273	78
777	274	78
778	274	77
779	274	77
780	275	77
781	275	76
782	275	76
783	276	76
784	276	75
785	276	75
786	276	74
787	277	74
788	277	74
789	277	73
790	278	73
791	278	73
792	278	72
793	279	72
794	279	72
795	280	71
796	280	71
797	280	71
798	281	70
799	281	70
800	281	69
801	281	69
